pure :1
pull :2
prowess :1
purge :2
purgative :1
purposes :1
put :16
purveyor :1
push :2
puts :1
pyramids :1
quoth :1
quarters :1
quarrels :1
quarry :1
quarter :1
question :4
quell :1
queen :4
quenchd :1
quickly :4
quiet :1
quite :1
quit :1
race :1
rabbles :1
rage :1
report :9
rebel :2
rat :1
rapt :3
ranks :1
rancours :1
raise :1
ran :1
rank :1
rarer :1
reason :5
reads :1
read :3
rather :8
raven :1
ravelld :1
ratify :1
ravishing :1
ravin :1
ravind :1
rawness :1
raze :1
reading :1
readiness :1
ready :3
reasons :1
rebels :2
rebellious :1
rebellions :1
reflection :1
redoubled :1
received :3
receive :6
receipt :1
rebuked :1
recompense :1
recommends :1
reckless :1
recoil :2
reckon :1
red :1
reconciled :1
reconcile :1
recorded :1
reeking :1
redress :1
referred :1
reenter :7
registerd :1
refrain :1
regard :2
repentance :1
rejoicing :1
reigns :1
reign :2
remorse :1
remember :4
remedy :1
remains :2
relations :1
relation :1
relate :2
relish :1
remembrance :3
remembrancer :1
renown :1
remove :3
rend :1
renderd :1
repent :1
repeatst :1
repetition :1
revolt :2
rest :9
repose :2
reports :1
reported :1
resembled :1
requited :1
request :1
require :2
resolve :1
reserved :1
resolute :1
resolution :1
resolved :1
respect :1
resounds :1
returnd :1
return :5
restrain :1
restless :1
retire :1
retires :1
retreat :1
returns :1
returning :1
revenge :2
revenges :1
ronyon :1
robes :2
ribs :1
rhinoceros :1
revolts :1
rhubarb :1
rides :1
ride :3
rid :1
rich :1
riddles :1
roar :1
rings :2
ring :4
rightvaliant :1
rightly :1
right :1
rightnoble :1
rise :6
ripe :1
rippd :1
rises :1
roast :1
robe :1
rock :1
roman :1
root :5
rooky :1
roofd :1
rooks :1
room :1
rooted :1
scotch :1
scene :29
say :38
save :1
saint :1
sailors :1
rumpfed :1
royal :9
roughest :1
rough :1
round :6
rouse :2
ruins :1
royalty :2
rubs :2
rugged :2
ruby :1
rue :1
rumour :2
rule :1
sail :1
runs :2
rung :1
run :1
safe :5
sacrilegious :1
s :7
rush :1
russian :1
sacred :1
sad :1
said :6
safer :2
safely :1
safest :1
safety :1
safeties :1
sag :1
saluted :1
sake :1
sainted :1
saltsea :1
salutation :1
same :4
saucy :2
sauce :2
satisfied :1
sanctity :1
satisfy :1
savage :1
savagely :1
saw :5
scarcely :2
scales :1
scale :2
sayst :1
saying :1
sayone :1
saythis :1
scaped :1
scannd :1
scape :1
scarce :1
scarf :1
scone :3
sceptre :1
scepters :1
school :1
scorpions :1
scorn :4
score :1
scotchd :1
sons :5
son :28
siward :28
seyton :11
second :31
sea :2
screw :1
scream :1
scour :1
screams :1
screens :1
scruples :2
seated :1
seat :2
seas :1
sear :2
seal :1
season :2
sergeant :7
seemeth :1
seemd :3
see :31
secretst :1
secret :2
secrets :1
